Date,Open,High,Low,Close
9/11/09,1076.45,1089.59,1076.45,1082.05
9/14/09,1086.68,1087.66,1081.92,1083.43
9/15/09,1070.82,1081.55,1067.49,1078.33
9/16/09,1082.23,1087.67,1082.23,1086.71
9/17/09,1084.09,1086.54,1078.12,1078.87
9/18/09,1083.92,1087.88,1079.22,1078.90
9/21/09,1082.39,1082.39,1076.24,1082.39
9/22/09,1081.12,1089.57,1081.12,1084.01
9/23/09,1090.87,1091.73,1084.20,1089.36
9/24/09,1105.78,1105.78,1082.80,1086.72
9/25/09,1088.28,1088.39,1076.71,1080.53
9/28/09,1077.34,1077.34,1075.39,1076.58
